data,open,high,low,close
3935,2807.8 ,2809.3 ,2807.8 ,2808.5 
3936,2808.5 ,2809.7 ,2808.1 ,2809.5 
3937,2809.5 ,2809.6 ,2808.3 ,2808.9 
3938,2808.9 ,2808.9 ,2807.9 ,2808.1 
3939,2808.1 ,2808.5 ,2807.1 ,2808.1 
3940,2808.1 ,2809.1 ,2807.8 ,2807.9 
3941,2795.5 ,2798.6 ,2794.5 ,2797.4 
3942,2797.4 ,2798.6 ,2796.7 ,2797.8 
3943,2797.8 ,2798.6 ,2797.1 ,2797.7 
3944,2797.8 ,2798.6 ,2796.3 ,2798.1 
3945,2797.8 ,2798.6 ,2797.4 ,2798.2 
3946,2798.0 ,2799.1 ,2796.9 ,2797.8 
3947,2797.6 ,2798.2 ,2796.7 ,2797.4 
3948,2797.6 ,2799.4 ,2797.0 ,2797.6 
3949,2797.6 ,2799.5 ,2796.8 ,2798.5 
3950,2798.5 ,2798.7 ,2796.6 ,2796.6 
3951,2797.0 ,2797.7 ,2795.9 ,2796.6 
3952,2796.6 ,2798.1 ,2796.4 ,2797.6 
3953,2797.2 ,2800.8 ,2797.2 ,2800.1 
3954,2800.1 ,2800.5 ,2798.2 ,2798.8 
3955,2798.7 ,2801.0 ,2798.3 ,2800.8 
3956,2800.3 ,2802.1 ,2799.5 ,2801.2 
3957,2801.2 ,2801.8 ,2800.2 ,2800.2 
3958,2800.4 ,2801.0 ,2799.7 ,2800.8 
3959,2800.6 ,2802.4 ,2799.4 ,2799.8 
3960,2799.6 ,2800.4 ,2799.0 ,2800.2 
3961,2800.2 ,2805.5 ,2800.0 ,2803.5 
3962,2803.5 ,2804.6 ,2803.0 ,2803.9 
3963,2803.9 ,2806.0 ,2803.1 ,2805.3 
3964,2805.4 ,2805.6 ,2802.8 ,2802.9 
3965,2803.0 ,2806.4 ,2803.0 ,2805.2 
3966,2805.2 ,2808.5 ,2804.1 ,2807.5 
3967,2807.7 ,2810.1 ,2806.6 ,2808.5 
3968,2808.0 ,2808.5 ,2806.6 ,2806.8 
3969,2806.6 ,2807.6 ,2805.9 ,2806.6 
3970,2806.6 ,2806.7 ,2805.1 ,2806.1 
3971,2806.3 ,2807.3 ,2804.9 ,2805.3 
3972,2805.4 ,2806.1 ,2803.8 ,2804.3 
3973,2804.3 ,2805.2 ,2803.2 ,2804.2 
3974,2804.2 ,2805.7 ,2804.0 ,2805.7 
3975,2805.7 ,2806.0 ,2803.9 ,2803.9 
3976,2804.1 ,2804.7 ,2802.8 ,2803.5 
3977,2803.5 ,2805.0 ,2803.2 ,2804.3 
3978,2804.3 ,2805.1 ,2803.3 ,2804.7 
3979,2804.5 ,2805.3 ,2803.2 ,2803.3 
3980,2803.5 ,2804.9 ,2803.3 ,2804.5 
3981,2804.7 ,2804.7 ,2798.8 ,2798.8 
3982,2798.8 ,2799.7 ,2796.9 ,2797.7 
3983,2797.7 ,2799.0 ,2797.2 ,2797.8 
3984,2797.4 ,2797.6 ,2784.2 ,2784.2 
3985,2784.2 ,2784.9 ,2774.5 ,2774.5 
3986,2773.6 ,2777.2 ,2772.6 ,2775.9 
3987,2776.1 ,2777.0 ,2768.2 ,2769.4 
3988,2769.4 ,2774.1 ,2769.2 ,2774.0 
3989,2773.8 ,2774.6 ,2772.5 ,2773.3 
3990,2773.3 ,2774.2 ,2772.5 ,2773.0 
3991,2773.0 ,2774.1 ,2771.4 ,2774.1 
3992,2774.1 ,2775.8 ,2767.3 ,2769.3 
3993,2769.6 ,2773.4 ,2765.5 ,2765.5 
3994,2765.3 ,2767.9 ,2762.1 ,2764.9 
3995,2764.8 ,2769.6 ,2764.4 ,2768.7 
3996,2769.1 ,2771.8 ,2768.3 ,2769.7 
3997,2769.7 ,2772.6 ,2769.4 ,2771.9 
3998,2771.7 ,2772.0 ,2767.2 ,2768.4 
3999,2768.5 ,2772.1 ,2766.6 ,2767.1 
4000,2767.0 ,2770.5 ,2765.1 ,2767.3 
4001,2767.3 ,2768.5 ,2753.7 ,2755.4 
4002,2755.6 ,2758.5 ,2752.2 ,2755.3 
4003,2755.5 ,2760.0 ,2755.5 ,2759.5 
4004,2759.5 ,2760.2 ,2758.5 ,2760.2 
4005,2760.2 ,2760.4 ,2757.4 ,2759.7 
4006,2759.5 ,2763.0 ,2759.1 ,2760.3 
4007,2760.0 ,2760.2 ,2756.2 ,2759.0 
4008,2759.0 ,2761.8 ,2756.2 ,2759.7 
4009,2759.9 ,2760.8 ,2755.0 ,2759.8 
4010,2759.9 ,2773.2 ,2759.2 ,2770.7 
4011,2771.0 ,2771.6 ,2767.6 ,2768.2 
4012,2768.2 ,2770.4 ,2767.4 ,2767.9 
4013,2767.8 ,2769.8 ,2765.4 ,2765.4 
4014,2765.3 ,2765.3 ,2760.3 ,2761.9 
4015,2762.2 ,2763.2 ,2760.7 ,2763.1 
4016,2763.5 ,2768.5 ,2759.7 ,2761.9 
4017,2761.9 ,2771.3 ,2761.9 ,2770.4 
4018,2770.9 ,2775.3 ,2767.2 ,2773.6 
4019,2773.6 ,2777.3 ,2770.9 ,2774.9 
4020,2775.5 ,2777.3 ,2772.7 ,2775.9 
4021,2775.7 ,2775.7 ,2770.9 ,2771.5 
4022,2771.5 ,2772.1 ,2769.0 ,2771.4 
4023,2771.4 ,2773.4 ,2771.4 ,2772.6 
4024,2771.9 ,2775.5 ,2771.9 ,2774.7 
4025,2774.7 ,2776.4 ,2774.1 ,2775.2 
4026,2775.2 ,2784.4 ,2775.1 ,2782.4 
4027,2781.9 ,2782.8 ,2779.2 ,2779.9 
4028,2780.1 ,2780.7 ,2779.0 ,2780.0 
4029,2780.0 ,2780.0 ,2775.7 ,2776.6 
4030,2776.6 ,2777.7 ,2775.7 ,2775.9 
4031,2780.4 ,2781.7 ,2775.0 ,2780.1 
4032,2780.1 ,2780.6 ,2776.5 ,2777.1 
4033,2777.1 ,2777.9 ,2775.1 ,2776.0 
4034,2776.5 ,2776.5 ,2773.5 ,2776.2 
4035,2776.2 ,2777.4 ,2775.5 ,2775.8 
4036,2775.8 ,2780.8 ,2773.7 ,2778.8 
4037,2778.8 ,2787.7 ,2778.6 ,2785.2 
4038,2785.3 ,2786.7 ,2781.5 ,2782.5 
4039,2782.5 ,2783.2 ,2780.6 ,2781.0 
4040,2781.1 ,2781.6 ,2774.5 ,2775.6 
